t,true_px,true_py,meas_px,meas_py,est_px,est_py
3.02,8.08174,0.692832,7.81439,0.743347,8.24747,0.594063
3.03,8.07382,0.491529,7.66037,-0.363932,8.1871,0.27896
3.04,8.06589,0.551448,7.94603,0.594074,8.16827,0.120721
3.05,8.05797,0.711853,8.0573,1.1482,8.16497,0.0528546
3.06,8.05004,0.871276,7.8014,1.1235,8.12982,-0.00620978
3.07,8.04212,1.02972,7.56895,0.555446,8.06903,-0.125268
3.08,8.03419,1.18718,8.19891,0.825912,8.09287,-0.193595
3.09,8.02627,1.34366,8.36119,1.39099,8.13432,-0.179701
3.1,8.01834,1.49916,8.02842,0.942226,8.12978,-0.218643
3.11,8.01042,1.65368,7.94525,1.22338,8.11511,-0.214021
3.12,8.00249,1.80722,7.788,1.75492,8.08212,-0.139163
3.13,7.99457,1.95977,8.02156,1.84362,8.08148,-0.056671
3.14,7.98664,2.11135,7.82788,2.16863,8.05655,0.062011
3.15,8.0006,2.25582,7.53309,2.6867,7.99724,0.237101
3.16,8.03058,2.39482,8.36799,2.86447,8.04807,0.420164
3.17,8.06056,2.53284,8.00462,2.24354,8.04821,0.51052
3.18,8.09055,2.66988,7.88337,2.55383,8.03307,0.633726
3.19,8.12053,2.80594,8.00213,2.59053,8.03417,0.752125
3.2,8.15051,2.94102,8.22185,3.29222,8.06245,0.949045
3.21,8.1805,3.07512,8.41597,3.44611,8.11192,1.1479
3.22,8.21048,3.20823,8.15694,2.78394,8.12384,1.24648
3.23,8.24047,3.34037,8.56712,3.16983,8.18556,1.3857
3.24,8.27045,3.47152,8.03625,3.5246,8.17453,1.55739
3.25,8.30043,3.6017,8.37819,3.0908,8.20711,1.65965
3.26,8.33042,3.73089,8.53326,3.4457,8.25551,1.79791
3.27,8.3604,3.8591,8.23408,3.95617,8.2614,1.98775
3.28,8.39038,3.98633,8.70512,4.40737,8.32525,2.21634
3.29,8.42037,4.11258,8.34424,4.7102,8.33729,2.46103
3.3,8.45035,4.23785,8.53437,4.24692,8.37157,2.62438
3.31,8.48033,4.36213,8.99269,4.51192,8.45927,2.80548
3.32,8.51032,4.48544,8.76142,4.86128,8.50884,3.0129
3.33,8.5403,4.60776,8.69061,4.11703,8.54417,3.10733
3.34,8.57028,4.72911,8.68418,4.15797,8.57474,3.19823
3.35,8.60027,4.84947,8.00302,5.46661,8.51684,3.44408
3.36,8.63025,4.96885,8.52646,5.524,8.52988,3.67272
3.37,8.66023,5.08725,9.02497,4.33558,8.60349,3.7303
3.38,8.69022,5.20467,8.1969,5.048,8.5659,3.87149
3.39,8.7202,5.32111,8.70675,5.74181,8.59547,4.0853
3.4,8.75019,5.43657,8.96789,5.58366,8.65429,4.25787
3.41,8.78017,5.55104,8.25936,4.7756,8.61832,4.3122
