t,true_x,true_y,true_theta,est_x,est_y,est_theta
21.9,1.04088,0.150302,0.316815,1.06971,0.0154242,0.307515
22,1.1359,0.181456,0.346815,1.12807,0.0453294,0.337406
22.1,1.22995,0.215446,0.376815,1.23825,0.0689606,0.367082
22.2,1.32294,0.252242,0.406815,1.31914,0.0975122,0.397254
22.3,1.41477,0.291811,0.436815,1.43425,0.15913,0.427988
22.4,1.50538,0.334117,0.466815,1.57165,0.200069,0.458754
22.5,1.59468,0.379121,0.496815,1.6323,0.25186,0.489614
22.6,1.6826,0.426784,0.526815,1.69181,0.33097,0.520156
22.7,1.76904,0.477062,0.556815,1.78361,0.370968,0.549914
22.8,1.85393,0.52991,0.586815,1.85347,0.409438,0.580314
22.9,1.9372,0.585282,0.616815,1.94052,0.475426,0.609741
23,2.01877,0.643126,0.646815,2.0513,0.565177,0.639054
23.1,2.09857,0.70339,0.676815,2.12989,0.632087,0.669005
23.2,2.17653,0.766022,0.706815,2.22616,0.684495,0.698873
23.3,2.25258,0.830963,0.736815,2.30642,0.766837,0.72916
23.4,2.32664,0.898156,0.766815,2.39847,0.838414,0.759795
23.5,2.39865,0.967541,0.796815,2.47268,0.924147,0.79034
23.6,2.46855,1.03905,0.826815,2.54227,1.00874,0.820314
23.7,2.53627,1.11263,0.856815,2.61877,1.09687,0.850282
23.8,2.60176,1.18821,0.886815,2.69747,1.17602,0.880935
23.9,2.66494,1.26571,0.916815,2.77345,1.23286,0.911721
24,2.72578,1.34508,0.946815,2.83323,1.29889,0.942078
24.1,2.78421,1.42624,0.976815,2.88169,1.37731,0.971506
24.2,2.84017,1.50911,1.00681,2.91397,1.4804,1.0019
24.3,2.89363,1.59362,1.03681,2.99573,1.55753,1.03175
24.4,2.94452,1.6797,1.06681,3.03556,1.62809,1.06204
24.5,2.99282,1.76727,1.09681,3.08916,1.70091,1.09224
24.6,3.03846,1.85624,1.12681,3.14247,1.80611,1.12255
24.7,3.08141,1.94655,1.15681,3.16293,1.88031,1.15168
24.8,3.12164,2.0381,1.18681,3.18589,1.9765,1.18218
24.9,3.1591,2.13082,1.21681,3.23605,2.05888,1.21147
25,3.19376,2.22462,1.24681,3.25655,2.16189,1.24131
25.1,3.2256,2.31942,1.27681,3.31702,2.2471,1.27038
25.2,3.25457,2.41513,1.30681,3.32522,2.33285,1.30034
25.3,3.28067,2.51166,1.33681,3.36314,2.43003,1.32984
25.4,3.30385,2.60894,1.36681,3.35236,2.54588,1.35925
25.5,3.32411,2.70686,1.39681,3.33893,2.65967,1.3897
25.6,3.34142,2.80535,1.42681,3.34004,2.78986,1.41987
25.7,3.35577,2.90432,1.45681,3.36717,2.88273,1.44981
25.8,3.36714,3.00367,1.48681,3.33677,3.01027,1.48044
25.9,3.37553,3.10332,1.51681,3.34532,3.10755,1.51089
26,3.38093,3.20317,1.54681,3.34348,3.19338,1.54116
26.1,3.38332,3.30314,1.57681,3.37934,3.28009,1.57049
26.2,3.38272,3.40314,1.60681,3.39977,3.37933,1.60014
26.3,3.37912,3.50308,1.63681,3.42938,3.42302,1.62941
26.4,3.37252,3.60286,1.66681,3.41479,3.52074,1.65938
26.5,3.36294,3.7024,1.69681,3.40547,3.60982,1.68897
26.6,3.35037,3.80161,1.72681,3.38156,3.72952,1.71949
26.7,3.33483,3.90039,1.75681,3.34138,3.88343,1.74907
26.8,3.31633,3.99867,1.78681,3.34034,3.98827,1.7789
26.9,3.2949,4.09634,1.81681,3.31488,4.12247,1.80853
27,3.27055,4.19333,1.84681,3.30847,4.20209,1.83805
27.1,3.24329,4.28955,1.87681,3.28437,4.32399,1.86808
27.2,3.21317,4.3849,1.90681,3.2356,4.44263,1.89808
27.3,3.18019,4.47931,1.93681,3.19622,4.5656,1.92759
27.4,3.1444,4.57268,1.96681,3.16156,4.62185,1.95751
27.5,3.10583,4.66494,1.99681,3.13714,4.64872,1.98806
27.6,3.0645,4.75601,2.02681,3.08394,4.73559,2.01833
27.7,3.02047,4.84579,2.05681,3.02859,4.84849,2.04808
