t,true_px,true_py,meas_px,meas_py,est_px,est_py
2.7,2.7,1.35,2.6956,1.57571,2.58091,1.49708
2.71,2.71,1.355,3.11793,1.63838,2.63517,1.51564
2.72,2.72,1.36,2.86299,2.25156,2.6639,1.58531
2.73,2.73,1.365,3.35099,1.32212,2.73231,1.57078
2.74,2.74,1.37,2.28515,1.68931,2.70486,1.58843
2.75,2.75,1.375,2.85793,2.2295,2.72796,1.65098
2.76,2.76,1.38,3.25375,1.7621,2.78319,1.66929
2.77,2.77,1.385,2.77648,0.947151,2.79377,1.6165
2.78,2.78,1.39,2.68102,1.62841,2.79524,1.62523
2.79,2.79,1.395,1.92521,2.01586,2.73171,1.66636
2.8,2.8,1.4,3.83352,0.42753,2.83533,1.56875
2.81,2.81,1.405,2.10989,1.51983,2.78453,1.57077
2.82,2.82,1.41,2.52871,1.54045,2.77262,1.57427
2.83,2.83,1.415,2.79416,0.903091,2.78397,1.52289
2.84,2.84,1.42,3.4842,1.65226,2.85341,1.53881
2.85,2.85,1.425,2.57013,2.17751,2.83991,1.59852
2.86,2.86,1.43,2.6058,0.80908,2.8301,1.53715
2.87,2.87,1.435,2.96176,1.61158,2.85116,1.5483
2.88,2.88,1.44,3.14596,1.78818,2.88638,1.57373
2.89,2.89,1.445,3.14806,1.68275,2.91927,1.58837
2.9,2.9,1.45,2.61312,1.10963,2.90401,1.55291
2.91,2.91,1.455,3.28118,1.57673,2.94666,1.55959
2.92,2.92,1.46,3.33012,0.606361,2.99048,1.48272
2.93,2.93,1.465,2.67961,2.41851,2.97556,1.56578
2.94,2.94,1.47,3.21627,1.61778,3.00725,1.57486
2.95,2.95,1.475,3.30396,2.57923,3.04414,1.66551
2.96,2.96,1.48,3.95902,0.69024,3.13441,1.58853
2.97,2.97,1.485,2.36475,0.678295,3.08214,1.51541
2.98,2.98,1.49,2.60645,1.51746,3.05365,1.51873
2.99,2.99,1.495,3.11101,0.729761,3.06991,1.45437
3,3,1.5,2.06632,1.1176,2.99548,1.42732
3.01,3.01,1.505,3.46809,2.05018,3.04556,1.48177
3.02,3.02,1.51,3.87291,1.49383,3.1268,1.48505
3.03,3.03,1.515,3.44408,2.01995,3.16583,1.53308
3.04,3.04,1.52,2.79157,1.71392,3.14623,1.55175
3.05,3.05,1.525,3.37935,1.07042,3.17792,1.51408
3.06,3.06,1.53,3.88105,1.51059,3.2502,1.51644
3.07,3.07,1.535,3.11352,1.06133,3.25184,1.48016
3.08,3.08,1.54,2.69029,0.441743,3.21686,1.39317
3.09,3.09,1.545,3.11758,2.79784,3.22043,1.51337
3.1,3.1,1.55,2.59069,3.0381,3.17842,1.6463
3.11,3.11,1.555,3.81713,1.31821,3.2438,1.62338
3.12,3.12,1.56,3.13363,1.49245,3.24621,1.61674
3.13,3.13,1.565,3.98308,1.82351,3.32087,1.63876
3.14,3.14,1.57,3.73099,1.74909,3.36885,1.65287
3.15,3.15,1.575,3.09401,1.73821,3.35891,1.66504
3.16,3.16,1.58,2.95653,0.853898,3.33756,1.60065
3.17,3.17,1.585,3.57684,0.834418,3.37038,1.53867
3.18,3.18,1.59,3.04558,1.37007,3.35533,1.52647
3.19,3.19,1.595,3.51168,2.37735,3.38085,1.6012
3.2,3.2,1.6,3.80249,1.93621,3.42932,1.63327
3.21,3.21,1.605,2.89506,1.51327,3.39673,1.627
3.22,3.22,1.61,3.05536,1.37486,3.37967,1.6092
